epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2406,1.06258,4.99362,1.02645,0.00517,0.37939,0.18516,0.10859,0.86413,9.09668,0.79182,0.00037154,0.00037154,0.00037154
2,85.0677,1.16413,4.58169,1.02394,0.00487,0.38816,0.1621,0.09826,0.85273,9.03551,0.81442,0.000738625,0.000738625,0.000738625
3,124.915,1.30886,4.16929,1.09406,0.91798,0.04472,0.1494,0.09727,0.93792,9.02055,0.85099,0.00108661,0.00108661,0.00108661
4,164.237,1.28201,4.27711,1.13411,0.72868,0.15351,0.17062,0.08648,1.06488,8.8013,0.90601,0.0013229,0.0013229,0.0013229
5,204.922,1.31533,4.00868,1.14931,0.52934,0.43518,0.50251,0.29821,1.25729,7.6062,1.04179,0.00128753,0.00128753,0.00128753
6,249.444,1.28841,4.07274,1.09936,0.48704,0.54913,0.53363,0.38189,1.0469,7.20919,0.96037,0.00125216,0.00125216,0.00125216
7,294.839,1.22702,3.70014,1.07964,0.60572,0.59413,0.61866,0.44776,1.04709,6.81423,0.95141,0.00121679,0.00121679,0.00121679
8,340.824,1.17158,4.007,1.09569,0.56484,0.60777,0.65577,0.48178,0.99083,6.83357,0.95546,0.00118143,0.00118143,0.00118143
9,379.875,1.20435,3.16258,1.09478,0.58205,0.6555,0.65274,0.48994,0.95982,6.2651,0.94017,0.00114606,0.00114606,0.00114606
10,414.567,1.14438,3.07333,1.11431,0.6724,0.69021,0.70903,0.52536,0.98471,5.66195,0.94597,0.00111069,0.00111069,0.00111069
11,448.786,1.13526,3.35785,1.08645,0.65256,0.68622,0.71371,0.51792,0.92073,5.47131,0.90646,0.00107532,0.00107532,0.00107532
12,482.218,1.21924,3.10512,1.08424,0.69711,0.69308,0.73353,0.52327,0.992,5.56329,0.9175,0.00103995,0.00103995,0.00103995
13,517.289,1.18963,3.63425,1.07118,0.72392,0.67752,0.75261,0.56099,0.93724,5.28583,0.89919,0.00100459,0.00100459,0.00100459
14,552.029,1.08964,3.21057,1.05763,0.74822,0.64476,0.76007,0.54431,0.93207,5.24778,0.90534,0.000969219,0.000969219,0.000969219
15,586.939,1.09903,2.69583,1.05972,0.63555,0.74254,0.77822,0.57567,0.92981,5.02432,0.89866,0.000933851,0.000933851,0.000933851
16,631.836,1.02761,2.94125,1.01116,0.7238,0.73518,0.79009,0.61784,0.80999,4.70006,0.856,0.000898484,0.000898484,0.000898484
