epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,127.717,0.90217,4.61329,1.04236,0.61078,0.46576,0.5323,0.42636,0.69944,2.74769,0.88302,0.00057925,0.00057925,0.00057925
19,134.094,0.83324,3.49752,0.99332,0.61199,0.4376,0.54053,0.44323,0.67535,2.55456,0.87249,0.0005545,0.0005545,0.0005545
20,140.523,0.88369,3.96849,1.02183,0.61189,0.46326,0.54486,0.44566,0.6831,2.35103,0.88198,0.00052975,0.00052975,0.00052975
21,147.234,0.81455,3.57454,0.98985,0.608,0.48392,0.55481,0.45953,0.65634,2.31681,0.88019,0.000505,0.000505,0.000505
22,153.918,0.79751,3.86119,0.99459,0.63184,0.49377,0.56922,0.47529,0.61456,2.06542,0.85662,0.00048025,0.00048025,0.00048025
23,160.652,0.83451,3.8682,1.01949,0.60683,0.46749,0.53471,0.44286,0.66271,2.13017,0.86461,0.0004555,0.0004555,0.0004555
24,167.392,0.80392,3.55963,0.96829,0.61031,0.4771,0.5671,0.47276,0.63467,1.84986,0.85694,0.00043075,0.00043075,0.00043075
25,174.12,0.89683,3.55854,1.05713,0.64377,0.46605,0.57941,0.4799,0.59364,1.77548,0.85579,0.000406,0.000406,0.000406
26,180.649,0.79241,3.28587,1.00127,0.56777,0.51036,0.58203,0.48598,0.59921,1.76524,0.86508,0.00038125,0.00038125,0.00038125
27,187.357,0.78066,3.40714,0.98941,0.60524,0.45345,0.55898,0.45813,0.65639,1.75246,0.86937,0.0003565,0.0003565,0.0003565
28,193.741,0.8199,3.89874,1.01381,0.63941,0.4927,0.57814,0.48693,0.57364,1.62713,0.84081,0.00033175,0.00033175,0.00033175
29,200.379,0.7457,3.58957,0.96952,0.61948,0.48189,0.57376,0.49394,0.55607,1.53417,0.82927,0.000307,0.000307,0.000307
30,206.933,0.76317,3.77928,0.97376,0.65396,0.50971,0.59343,0.51475,0.56339,1.39786,0.82099,0.00028225,0.00028225,0.00028225
31,218.515,0.74545,7.8089,0.92818,0.69342,0.45767,0.5851,0.50461,0.57463,1.40639,0.82464,0.0002575,0.0002575,0.0002575
32,225.268,0.68309,8.23753,0.9091,0.69773,0.45623,0.56261,0.48175,0.57538,1.47066,0.83822,0.00023275,0.00023275,0.00023275
33,231.662,0.73693,6.61034,0.96073,0.66578,0.44729,0.54923,0.4636,0.60289,1.66247,0.84389,0.000208,0.000208,0.000208
34,238.228,0.70844,7.97909,0.92274,0.67716,0.44511,0.55925,0.47094,0.60351,1.59105,0.84328,0.00018325,0.00018325,0.00018325
35,245.45,0.6755,7.6428,0.92126,0.63836,0.47508,0.5691,0.48414,0.59117,1.42502,0.84024,0.0001585,0.0001585,0.0001585
36,252.63,0.67948,6.57716,0.91677,0.64879,0.47193,0.57136,0.48609,0.58098,1.36298,0.83495,0.00013375,0.00013375,0.00013375
37,259.342,0.67766,6.35038,0.92286,0.6411,0.46967,0.56758,0.48327,0.58291,1.35778,0.83517,0.000109,0.000109,0.000109
38,266.218,0.71922,7.54151,0.95778,0.61051,0.48896,0.57065,0.48868,0.5714,1.32954,0.83196,8.425e-05,8.425e-05,8.425e-05
39,272.883,0.70906,6.15296,0.93185,0.64685,0.49965,0.58265,0.50301,0.53257,1.27566,0.82136,5.95e-05,5.95e-05,5.95e-05
40,279.616,0.64798,7.32694,0.86534,0.63224,0.52711,0.5924,0.51192,0.52727,1.25595,0.82425,3.475e-05,3.475e-05,3.475e-05
