epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4864,1.28283,9.70725,1.2384,0.02176,0.37133,0.13223,0.08905,0.81571,12.0673,0.90809,0.00025,0.00025,0.00025
2,19.1873,1.10706,6.05477,1.13426,0.02908,0.52363,0.13676,0.09071,0.76813,11.0189,0.88603,0.000497377,0.000497377,0.000497377
3,27.4403,1.12822,6.45632,1.12289,0.6869,0.20542,0.19245,0.13879,0.814,9.33344,0.8894,0.000731885,0.000731885,0.000731885
4,34.6973,1.18485,5.84021,1.18963,0.51294,0.27674,0.32945,0.23652,0.93822,7.98903,0.97395,0.00092575,0.00092575,0.00092575
5,41.2847,1.20148,5.43137,1.18504,0.39722,0.18247,0.23483,0.15576,1.04016,7.67444,1.02755,0.000901,0.000901,0.000901
6,47.8021,1.13945,5.33216,1.17177,0.38988,0.33395,0.33911,0.23507,1.04249,6.98071,1.0186,0.00087625,0.00087625,0.00087625
7,54.786,1.11251,8.40809,1.15768,0.61496,0.37452,0.45083,0.31235,0.96478,6.76598,0.99195,0.0008515,0.0008515,0.0008515
8,61.3938,1.02862,5.30489,1.14509,0.48724,0.46837,0.47043,0.34705,0.83746,5.96854,0.96119,0.00082675,0.00082675,0.00082675
9,67.9072,1.01962,4.8027,1.12284,0.52622,0.47128,0.48515,0.37469,0.79262,5.19943,0.92327,0.000802,0.000802,0.000802
10,74.5289,1.01545,4.63652,1.09689,0.48948,0.47532,0.48838,0.381,0.80184,5.04351,0.91739,0.00077725,0.00077725,0.00077725
11,81.2154,0.98676,4.08612,1.1147,0.48087,0.45114,0.47583,0.35504,0.81062,5.62821,0.94056,0.0007525,0.0007525,0.0007525
12,87.9072,0.96754,4.76799,1.0614,0.50074,0.49123,0.52236,0.39953,0.76061,4.39934,0.91221,0.00072775,0.00072775,0.00072775
13,94.7994,0.95199,4.27022,1.05687,0.46416,0.48925,0.49212,0.37868,0.79851,3.98359,0.90585,0.000703,0.000703,0.000703
14,101.625,0.90731,4.03581,1.0506,0.55366,0.45898,0.50745,0.40347,0.7303,3.71809,0.88119,0.00067825,0.00067825,0.00067825
15,108.17,0.93641,4.05158,1.06874,0.64533,0.41556,0.54272,0.43251,0.68889,3.25343,0.88916,0.0006535,0.0006535,0.0006535
16,114.647,0.93748,4.15424,1.02976,0.60144,0.41009,0.53031,0.42776,0.65796,3.14973,0.87704,0.00062875,0.00062875,0.00062875
17,120.96,0.93358,4.05776,1.05336,0.63144,0.47506,0.5513,0.44438,0.66924,2.80974,0.87036,0.000604,0.000604,0.000604
