epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6099,1.08069,16.4239,1.10669,0.01369,0.41886,0.22154,0.13784,0.72179,12.5668,0.90039,0.00026,0.00026,0.00026
2,21.7633,1.10785,8.96676,1.04064,0.02544,0.81328,0.18622,0.11103,0.96774,12.0338,0.84416,0.000516883,0.000516883,0.000516883
3,28.6315,1.04485,11.5958,1.03124,0.02235,0.9391,0.30454,0.20507,0.84358,10.2142,0.88114,0.0007604,0.0007604,0.0007604
4,35.6981,1.12031,8.48224,1.09317,0.44061,0.42882,0.37114,0.26765,0.92993,8.51324,0.92854,0.00092575,0.00092575,0.00092575
5,43.8635,1.15672,7.78831,1.10601,0.51636,0.47406,0.50504,0.35855,1.00691,7.39983,0.988,0.000901,0.000901,0.000901
6,50.7688,1.09153,7.24735,1.10264,0.51907,0.56089,0.53151,0.38142,1.03479,6.73972,1.00866,0.00087625,0.00087625,0.00087625
7,57.7071,1.02614,6.70205,1.08923,0.57099,0.63603,0.66388,0.48048,0.96783,5.32814,0.93602,0.0008515,0.0008515,0.0008515
8,64.6709,1.07112,5.9553,1.10276,0.60936,0.66585,0.68744,0.48623,0.93045,5.0636,0.93325,0.00082675,0.00082675,0.00082675
9,72.4683,1.11041,6.82608,1.11778,0.6109,0.67779,0.6648,0.48906,0.86753,4.63849,0.9188,0.000802,0.000802,0.000802
10,79.666,1.01554,6.87746,1.08489,0.6253,0.7119,0.69635,0.52551,0.92703,4.44008,0.93871,0.00077725,0.00077725,0.00077725
11,86.8285,1.00225,6.16987,1.12014,0.67025,0.60984,0.68254,0.5066,0.98146,4.72168,0.96205,0.0007525,0.0007525,0.0007525
12,93.8187,1.01644,6.69632,1.06697,0.6235,0.68377,0.68365,0.50784,0.98008,4.12225,0.96353,0.00072775,0.00072775,0.00072775
13,101.151,0.97427,5.88352,1.05072,0.67812,0.68772,0.73935,0.58853,0.76351,3.18862,0.89489,0.000703,0.000703,0.000703
14,107.976,1.00016,8.71513,1.06822,0.61607,0.68997,0.68554,0.53787,0.76391,2.95833,0.87776,0.00067825,0.00067825,0.00067825
15,115.01,0.98384,4.87991,1.04267,0.59813,0.62794,0.67094,0.52326,0.74054,2.94259,0.88352,0.0006535,0.0006535,0.0006535
16,121.791,0.93897,5.43816,1.02753,0.60303,0.68446,0.67816,0.54757,0.72214,2.52844,0.86523,0.00062875,0.00062875,0.00062875
17,128.757,0.95547,5.55791,1.04431,0.57392,0.68947,0.70682,0.5642,0.82394,2.3754,0.90328,0.000604,0.000604,0.000604
18,136.237,0.92857,4.71505,1.0332,0.62066,0.69099,0.7273,0.60478,0.70933,2.14889,0.87877,0.00057925,0.00057925,0.00057925
19,143.018,0.91784,4.52197,1.02145,0.62606,0.7542,0.75015,0.62732,0.68283,1.963,0.84361,0.0005545,0.0005545,0.0005545
20,149.758,0.90917,4.89517,1.01186,0.70745,0.74481,0.80045,0.65934,0.67113,1.87021,0.8765,0.00052975,0.00052975,0.00052975
21,156.772,0.86154,5.94561,0.98585,0.69729,0.79981,0.79562,0.65471,0.70037,1.77516,0.86505,0.000505,0.000505,0.000505
22,163.831,0.94746,6.88776,0.99452,0.70225,0.75729,0.77296,0.63941,0.70406,1.70813,0.85482,0.00048025,0.00048025,0.00048025
23,171.076,0.87521,4.97517,1.00502,0.67356,0.80363,0.79748,0.66284,0.69261,1.51347,0.84442,0.0004555,0.0004555,0.0004555
24,177.68,0.88547,4.4601,0.99186,0.73199,0.74731,0.82256,0.67057,0.68389,1.56261,0.85499,0.00043075,0.00043075,0.00043075
25,184.754,0.85578,3.96751,0.99671,0.75556,0.74994,0.82257,0.68619,0.69018,1.43921,0.85598,0.000406,0.000406,0.000406
26,191.86,0.85754,4.28607,1.00898,0.80399,0.74703,0.82903,0.69567,0.66219,1.2127,0.8483,0.00038125,0.00038125,0.00038125
27,199.099,0.86224,5.03985,0.98242,0.82671,0.70865,0.827,0.69465,0.6603,1.25219,0.84253,0.0003565,0.0003565,0.0003565
28,205.76,0.81256,5.53931,0.96406,0.75875,0.71683,0.82582,0.69833,0.6579,1.19255,0.84134,0.00033175,0.00033175,0.00033175
29,212.535,0.83016,5.06781,0.95718,0.70089,0.76247,0.81645,0.70177,0.61322,1.12995,0.83375,0.000307,0.000307,0.000307
30,219.545,0.77989,4.51375,0.98218,0.70269,0.7605,0.79294,0.69199,0.60697,1.07369,0.8307,0.00028225,0.00028225,0.00028225
31,234.141,0.71559,10.0071,0.89884,0.69806,0.74706,0.78751,0.68157,0.63023,1.06024,0.83109,0.0002575,0.0002575,0.0002575
32,240.875,0.72528,7.87299,0.9364,0.63319,0.77056,0.77045,0.66996,0.6188,1.02025,0.83102,0.00023275,0.00023275,0.00023275
33,247.568,0.72264,8.80729,0.91095,0.64536,0.75504,0.77626,0.67564,0.63843,1.04784,0.82098,0.000208,0.000208,0.000208
34,254.193,0.73658,8.33629,0.8953,0.74379,0.69937,0.8113,0.7007,0.62964,1.00282,0.81549,0.00018325,0.00018325,0.00018325
35,260.744,0.72326,7.92156,0.90145,0.7674,0.71549,0.82149,0.707,0.62157,0.97811,0.81523,0.0001585,0.0001585,0.0001585
36,267.185,0.65411,9.00985,0.90261,0.75921,0.73427,0.83681,0.7259,0.63488,0.90856,0.81924,0.00013375,0.00013375,0.00013375
37,273.893,0.72343,7.5288,0.95279,0.7489,0.75845,0.84234,0.72749,0.62016,0.86483,0.81478,0.000109,0.000109,0.000109
38,280.405,0.65542,8.51626,0.86678,0.74526,0.76416,0.84365,0.73209,0.61492,0.83369,0.8176,8.425e-05,8.425e-05,8.425e-05
