epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62731,1.35385,3.90679,1.3361,0.07402,0.5914,0.09104,0.04851,0.40411,3.60605,0.83386,2.858e-05,2.858e-05,2.858e-05
2,8.71309,1.06824,3.82743,1.206,0.05932,0.82796,0.25782,0.16772,0.66834,3.58309,0.87523,6.90921e-05,6.90921e-05,6.90921e-05
3,12.6347,1.10947,3.74917,1.22488,0.05053,0.87097,0.39217,0.25446,0.85779,3.59995,0.93102,0.000106775,0.000106775,0.000106775
4,16.6193,0.93767,3.52872,1.07454,0.04474,0.88172,0.41771,0.25574,1.00761,3.59721,0.94865,0.000141628,0.000141628,0.000141628
5,20.7033,0.97835,3.39807,1.07987,0.04359,0.91398,0.39362,0.23927,1.03428,3.61124,0.9636,0.000173652,0.000173652,0.000173652
6,24.7246,0.84692,3.25914,0.97913,0.04468,0.92473,0.37174,0.24217,0.962,3.57607,0.92345,0.000202847,0.000202847,0.000202847
7,28.7186,0.87245,3.18311,1.01295,0.0461,0.91398,0.40163,0.28009,0.77418,3.58189,0.86575,0.000229212,0.000229212,0.000229212
8,32.4965,0.83424,3.08342,0.95514,0.04904,0.90323,0.43764,0.32311,0.75711,3.5466,0.87164,0.000252747,0.000252747,0.000252747
9,36.3184,0.83872,2.95708,0.98624,0.04904,0.90323,0.43764,0.32311,0.75711,3.5466,0.87164,0.000273453,0.000273453,0.000273453
10,40.5167,0.75552,2.95418,0.94539,0.05012,0.87097,0.47532,0.36057,0.67514,3.50394,0.84342,0.00029133,0.00029133,0.00029133
11,44.2526,0.80654,2.79735,0.96292,0.05012,0.87097,0.47532,0.36057,0.67514,3.50394,0.84342,0.000306378,0.000306378,0.000306378
12,48.8304,0.90164,2.85566,0.99431,0.05058,0.84946,0.5094,0.40711,0.56681,3.42532,0.8329,0.000318596,0.000318596,0.000318596
13,54.0742,0.91735,2.80474,1.03731,0.05058,0.84946,0.5094,0.40711,0.56681,3.42532,0.8329,0.000327984,0.000327984,0.000327984
14,58.9243,0.86712,2.66779,1.02153,0.05142,0.83871,0.46251,0.38526,0.54575,3.36981,0.81559,0.000334543,0.000334543,0.000334543
15,63.8373,0.91025,2.42314,1.00963,0.05142,0.83871,0.46251,0.38526,0.54575,3.36981,0.81559,0.000338273,0.000338273,0.000338273
16,68.6072,1.05814,2.56819,1.00933,0.05142,0.83871,0.46251,0.38526,0.54575,3.36981,0.81559,0.000339173,0.000339173,0.000339173
17,73.5709,1.02464,2.71113,1.07528,0.05197,0.83871,0.43758,0.35901,0.55932,3.29135,0.81494,0.000337244,0.000337244,0.000337244
18,78.2032,0.91884,2.41497,1.00815,0.05197,0.83871,0.43758,0.35901,0.55932,3.29135,0.81494,0.000332485,0.000332485,0.000332485
19,83.195,0.91698,2.4739,1.04198,0.05197,0.83871,0.43758,0.35901,0.55932,3.29135,0.81494,0.000324897,0.000324897,0.000324897
20,87.962,0.88654,2.25704,0.9366,0.05464,0.89247,0.48492,0.39657,0.56521,3.16814,0.79595,0.00031448,0.00031448,0.00031448
21,92.6208,0.80558,2.46998,0.94733,0.05464,0.89247,0.48492,0.39657,0.56521,3.16814,0.79595,0.000301233,0.000301233,0.000301233
22,97.2348,0.88195,2.37913,0.98703,0.05464,0.89247,0.48492,0.39657,0.56521,3.16814,0.79595,0.000285157,0.000285157,0.000285157
23,101.968,0.82814,2.44277,0.94334,0.05464,0.89247,0.48492,0.39657,0.56521,3.16814,0.79595,0.000266251,0.000266251,0.000266251
24,106.641,0.77545,2.4469,0.93594,0.05234,0.92473,0.57907,0.45718,0.66124,2.93865,0.81023,0.000244516,0.000244516,0.000244516
25,111.163,0.75651,2.40281,0.94869,0.05234,0.92473,0.57907,0.45718,0.66124,2.93865,0.81023,0.000219952,0.000219952,0.000219952
26,115.65,0.85701,2.63552,0.99006,0.05234,0.92473,0.57907,0.45718,0.66124,2.93865,0.81023,0.000192558,0.000192558,0.000192558
27,120.201,0.90464,2.36225,0.97113,0.05234,0.92473,0.57907,0.45718,0.66124,2.93865,0.81023,0.000162334,0.000162334,0.000162334
28,124.877,0.84911,2.42049,0.9651,0.05234,0.92473,0.57907,0.45718,0.66124,2.93865,0.81023,0.000129282,0.000129282,0.000129282
29,129.439,0.79423,2.45204,0.91613,0.3781,0.83871,0.63856,0.50005,0.70996,2.67745,0.81964,9.33994e-05,9.33994e-05,9.33994e-05
30,134.147,0.77305,2.4674,0.9512,0.3781,0.83871,0.63856,0.50005,0.70996,2.67745,0.81964,5.46878e-05,5.46878e-05,5.46878e-05
